Sun Nov 27 18:49:48 2022    profiler_result

         274689913 function calls (269353762 primitive calls) in 145.197 seconds

   Ordered by: internal time
   List reduced from 15008 to 1588 due to restriction <'wger/wger((?!tests).)*$'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.053    0.003 /Users/adampetik/School/wger/wger/exercises/models/base.py:110(total_authors_history)
       12    0.000    0.000    0.301    0.025 /Users/adampetik/School/wger/wger/nutrition/views/ingredient.py:100(view)
       26    0.000    0.000    0.095    0.004 /Users/adampetik/School/wger/wger/gym/views/contract.py:168(dispatch)
       13    0.000    0.000    0.004    0.000 /Users/adampetik/School/wger/wger/nutrition/forms.py:69(__init__)
       26    0.000    0.000    0.126    0.005 /Users/adampetik/School/wger/wger/gym/views/contract_option.py:136(dispatch)
       20    0.000    0.000    0.080    0.004 /Users/adampetik/School/wger/wger/gym/views/admin_notes.py:179(dispatch)
       22    0.000    0.000    0.410    0.019 /Users/adampetik/School/wger/wger/nutrition/views/log.py:84(detail)
      234    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/manager/models/set.py:100(<listcomp>)
        9    0.000    0.000    0.084    0.009 /Users/adampetik/School/wger/wger/manager/views/pdf.py:51(workout_log)
       26    0.000    0.000    0.085    0.003 /Users/adampetik/School/wger/wger/gym/views/contract_type.py:136(dispatch)
       30    0.000    0.000    0.014    0.000 /Users/adampetik/School/wger/wger/manager/models/schedule.py:102(save)
      320    0.000    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/manager/models/set.py:194(normalize_weight)
        9    0.000    0.000    0.079    0.009 /Users/adampetik/School/wger/wger/manager/views/pdf.py:126(workout_view)
       20    0.000    0.000    0.082    0.004 /Users/adampetik/School/wger/wger/gym/views/document.py:189(dispatch)
       64    0.000    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/utils/helpers.py:122(make_token)
       89    0.000    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/manager/models/day.py:60(<listcomp>)
       19    0.000    0.000    0.008    0.000 /Users/adampetik/School/wger/wger/manager/models/schedule_step.py:77(get_dates)
       22    0.000    0.000    0.294    0.013 /Users/adampetik/School/wger/wger/nutrition/views/log.py:54(overview)
     1498    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/nutrition/models/plan.py:179(get_owner_object)
       19    0.000    0.000    0.010    0.001 /Users/adampetik/School/wger/wger/weight/helpers.py:155(process_log_entries)
       12    0.000    0.000    0.026    0.002 /Users/adampetik/School/wger/wger/utils/viewsets.py:30(create)
       11    0.000    0.000    0.492    0.045 /Users/adampetik/School/wger/wger/core/views/user.py:238(registration)
       70    0.000    0.000    0.021    0.000 /Users/adampetik/School/wger/wger/utils/generic_views.py:266(get_context_data)
       54    0.000    0.000    0.018    0.000 /Users/adampetik/School/wger/wger/nutrition/models/ingredient.py:282(save)
       86    0.000    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/manager/models/day.py:211(<listcomp>)
        9    0.000    0.000    0.130    0.014 /Users/adampetik/School/wger/wger/manager/views/log.py:114(add)
        1    0.000    0.000    0.059    0.059 /Users/adampetik/School/wger/wger/gym/management/commands/inactive-members.py:39(handle)
       72    0.000    0.000    0.023    0.000 /Users/adampetik/School/wger/wger/core/models/profile.py:390(address)
       26    0.000    0.000    0.065    0.002 /Users/adampetik/School/wger/wger/gym/views/contract_type.py:99(dispatch)
